SPNAME,COLLID,ELAPS_TIME,CPU_TIME,SUSPEND,LOCK_LATCH,SYNCIO,SQL_STMT_AVG,SQL_STMT_TOTAL,OCCUR,SP_OK
sp1,67,2.747459,2.50454,0.118508,0.004004,0.074073,3,27,9,0
sp2,67,1.767674,1.371725,0.264531,0.000057,0.153577,3,12,4,0
sp3,67,1.381267,1.341593,0.02004,0.000084,0.012962,3,78,26,0
sp4,67,1.016964,0.751433,0.190694,0.001636,0.13457,4,4,1,0
sp5,67,1.345259,0.405143,0.964527,0.000088,0.883992,5,100,20,0
sp6,67,0.27498,0.20986,0.056411,0.002134,0.027257,8,8,1,0
sp7,109,0.233929,0.073658,0.159873,0.001195,0.131999,19.44,8458,435,0
sp8,42,0.060586,0.060082,0.00008,0,0,3.33,10,3,0
sp9,67,0.037303,0.021433,0.015907,0.000001,0.00121,1,1,1,1
sp10,67,0.076561,0.015644,0.061805,0.000119,0.022025,5,5,1,1
sp11,32,0.012592,0.009821,0.002626,0.00012,0.000897,9.38,666,71,1
sp12,17,0.018098,0.004073,0.013993,0.00074,0.012239,50.69,1774,35,1
sp13,67,0.058974,0.003729,0.05535,0,0.033151,3,3,1,1
sp14,67,0.028125,0.003614,0.02474,0,0.007326,4,12,3,1
sp15,109,0.004684,0.003468,0.001161,0.000202,0.000681,15.93,430,27,1
sp16,67,0.021547,0.003314,0.018063,0.003054,0.014389,60.4,302,5,1
sp17,48,0.005394,0.00324,0.002075,0.000712,0.000484,17.47,2656,152,1
sp18,17,0.011702,0.002979,0.008721,0.000755,0.005524,20.48,553,27,1
sp19,37,0.081985,0.002938,0.079287,0.000135,0.077518,12.85,437,34,1
sp20,48,0.008799,0.002713,0.006109,0.000537,0.00482,38.12,5222,137,1
sp21,40,0.004424,0.002656,0.001781,0.000414,0.001178,23.14,162,7,1
sp22,37,0.010162,0.002372,0.007811,0.000525,0.003728,21.25,85,4,1
sp23,67,0.007145,0.002317,0.004898,0.000161,0.002358,7,245,35,1
sp24,40,0.013076,0.002227,0.010879,0.000198,0.010572,18.5,74,4,1
sp25,37,0.025051,0.002155,0.022946,0.000137,0.016583,19.25,231,12,1
sp26,34,0.012813,0.002155,0.00954,0.00008,0.005065,6,30,5,1
sp27,67,0.004395,0.002152,0.002223,0.000196,0.000397,7,189,27,1
sp28,33,0.002538,0.00213,0.00037,0.000347,0,126.52,2794919,22090,1
sp29,5,0.046679,0.002109,0.044633,0.000093,0.044448,32,64,2,1
sp30,40,0.008347,0.002088,0.006261,0.000301,0.005942,11.97,407,34,1
sp31,40,0.004381,0.002071,0.002292,0.000305,0.001917,11.44,3283,287,1
sp32,48,0.008702,0.002046,0.006645,0.000358,0.005634,17.18,2285,133,1
sp33,40,0.004257,0.002004,0.002254,0.000359,0.001557,28.64,63004,2200,1
sp34,67,0.023619,0.002012,0.021608,0.000002,0.006728,7,7,1,1
sp35,37,0.011047,0.001963,0.0091,0.000271,0.008737,18.33,9589,523,1
sp36,40,0.004061,0.001952,0.002115,0.000559,0.001556,26.56,239,9,1
sp37,36,0.002882,0.001948,0.000961,0.000195,0.000766,21,63,3,1
sp38,40,0.00551,0.001889,0.003628,0.000312,0.003079,27.17,1630,60,1
sp39,36,0.014145,0.001857,0.012285,0.000128,0.011438,19.8,99,5,1
sp40,65,0.002138,0.001851,0.000244,0.000052,0,6,5748,958,1
sp41,40,0.005121,0.001826,0.003296,0.000293,0.002692,26.07,15538,596,1
sp42,47,0.004805,0.001816,0.002983,0.000215,0.001695,15.57,1277,82,1
sp43,67,0.037963,0.001808,0.036285,0,0.018986,3,3,1,1
sp44,40,0.002353,0.001778,0.000561,0.000561,0,12,36,3,1
sp45,34,0.002352,0.001734,0.000614,0.000445,0.000169,29,3973,137,1
sp46,34,0.005455,0.0017,0.003753,0.000031,0.003608,20.2,101,5,1
sp47,37,0.018335,0.001689,0.016693,0.000176,0.014611,6,102,17,1
sp48,40,0.002865,0.001625,0.00122,0.000207,0.000974,11.64,128,11,1
sp49,35,0.01466,0.001614,0.013083,0.000052,0.013031,3,37134,12378,1
sp50,40,0.004634,0.0016,0.003025,0.000277,0.002622,11.48,33380,2907,1
sp51,37,0.012057,0.001566,0.010519,0.000271,0.009844,17.71,22580,1275,1
sp52,37,0.004799,0.001514,0.00329,0.000272,0.003018,16,928,58,1
sp53,40,0.042513,0.001448,0.041108,0,0.026434,7,7,1,1
sp54,41,0.01365,0.001412,0.012275,0,0.012205,5,25,5,1
sp55,49,0.002983,0.001415,0.001571,0.000245,0.001239,12.86,121248,9429,1
sp56,47,0.004423,0.001376,0.003059,0.000251,0.00172,19.24,3492497,181567,1
sp57,37,0.009922,0.001347,0.00859,0.000257,0.007333,17.57,414252,23581,1
sp58,47,0.001989,0.001336,0.000613,0.000235,0.000277,11.92,2515,211,1
sp59,36,0.013424,0.00132,0.012138,0.000191,0.011862,8.8,132,15,1
sp60,65,0.001688,0.001301,0.000371,0.000174,0,11,2101,191,1
sp61,36,0.010365,0.001291,0.009096,0.0002,0.008813,15.09,16810,1114,1
sp62,48,0.009833,0.001279,0.008605,0.000192,0.008181,14,168,12,1
sp63,45,0.010182,0.001261,0.008944,0,0.008944,8,8,1,1
sp64,48,0.012698,0.001263,0.011487,0.000154,0.011333,7.11,43183,6076,1
sp65,65,0.001349,0.00119,0.000139,0.000005,0,3,363,121,1
sp66,47,0.001703,0.001182,0.000527,0.000393,0.000061,10.75,43,4,1
sp67,47,0.001764,0.00112,0.000642,0.000225,0.000332,8.92,1989,223,1
sp68,49,0.002708,0.001107,0.001598,0.000203,0.001385,10.67,2646,248,1
sp69,35,0.00177,0.001054,0.000711,0.000216,0.000495,18.93,496027,26200,1
sp70,65,0.001299,0.001028,0.000255,0.000064,0,6,2082,347,1
sp71,37,0.001341,0.001018,0.000336,0.000001,0.000335,10,20,2,1
sp72,40,0.001263,0.001013,0.000245,0.000121,0,10.67,64,6,1
sp73,47,0.005042,0.000977,0.004103,0.000145,0.003722,8.52,377781,44352,1
sp74,36,0.013892,0.000965,0.012957,0.000173,0.012721,9.43,330,35,1
sp75,47,0.002,0.000957,0.001044,0.00016,0.0008,8.01,85016,10610,1
sp76,37,0.00257,0.000954,0.001615,0.000171,0.001431,10.45,857,82,1
